KalmanPitch,KalmanRoll,
-36.38,-48.38,
-36.41,-48.4,
-36.43,-48.42,
-36.45,-48.44,
-36.47,-48.46,
-36.49,-48.47,
-36.51,-48.48,
-36.53,-48.49,
-36.55,-48.49,
-36.56,-48.5,
-36.57,-48.5,
-36.58,-48.5,
-36.59,-48.51,
-36.6,-48.51,
-36.6,-48.52,
-36.61,-48.53,
-36.61,-48.55,
-36.61,-48.57,
-36.61,-48.59,
-36.6,-48.61,
-36.61,-48.64,
-36.6,-48.66,
-36.59,-48.69,
-36.58,-48.72,
-36.58,-48.74,
-36.57,-48.77,
-36.56,-48.78,
-36.56,-48.8,
-36.55,-48.81,
-36.54,-48.82,
-36.55,-48.82,
-36.55,-48.81,
-36.55,-48.8,
-36.55,-48.8,
-36.55,-48.8,
-36.56,-48.8,
-36.56,-48.81,
-36.56,-48.81,
-36.56,-48.82,
-36.57,-48.83,
-36.58,-48.84,
-36.59,-48.86,
-36.6,-48.87,
-36.61,-48.89,
-36.62,-48.9,
-36.63,-48.92,
-36.64,-48.94,
-36.65,-48.95,
-36.66,-48.97,
-36.67,-48.98,
-36.68,-49,
-36.68,-49.01,
-36.69,-49.03,
-36.69,-49.05,
-36.7,-49.07,
-36.71,-49.08,
-36.72,-49.1,
-36.73,-49.11,
-36.74,-49.13,
-36.75,-49.15,
-36.76,-49.17,
-36.77,-49.19,
-36.78,-49.2,
-36.78,-49.22,
-36.79,-49.24,
-36.79,-49.26,
-36.79,-49.28,
-36.79,-49.3,
-36.79,-49.31,
-36.79,-49.33,
-36.79,-49.35,
-36.79,-49.37,
-36.78,-49.39,
-36.78,-49.41,
-36.78,-49.44,
-36.78,-49.46,
-36.78,-49.49,
-36.78,-49.52,
-36.78,-49.54,
-36.78,-49.56,
-36.78,-49.58,
-36.79,-49.61,
-36.79,-49.62,
-36.79,-49.64,
-36.79,-49.66,
-36.8,-49.68,
-36.8,-49.7,
-36.79,-49.72,
-36.79,-49.74,
-36.79,-49.76,
-36.79,-49.78,
-36.79,-49.81,
-36.8,-49.83,
-36.8,-49.85,
-36.8,-49.87,
-36.81,-49.89,
-36.82,-49.91,
-36.82,-49.93,
-36.83,-49.95,
-36.84,-49.97,
-36.84,-49.99,
-36.85,-50.01,
-36.86,-50.03,
-36.86,-50.05,
-36.87,-50.06,
-36.88,-50.07,
-36.89,-50.08,
-36.9,-50.09,
-36.92,-50.1,
-36.93,-50.11,
-36.94,-50.12,
-36.96,-50.13,
-36.98,-50.14,
-37,-50.15,
-37.02,-50.17,
-37.03,-50.18,
-37.05,-50.2,
-37.07,-50.22,
-37.08,-50.23,
-37.1,-50.25,
-37.11,-50.26,
-37.12,-50.28,
-37.13,-50.3,
-37.14,-50.31,
-37.15,-50.33,
-37.16,-50.35,
-37.16,-50.37,
-37.16,-50.39,
-37.16,-50.41,
-37.16,-50.43,
-37.16,-50.45,
-37.16,-50.47,
-37.16,-50.49,
-37.16,-50.51,
-37.16,-50.52,
-37.16,-50.54,
-37.16,-50.55,
-37.16,-50.57,
-37.17,-50.59,
-37.17,-50.6,
-37.18,-50.62,
-37.18,-50.63,
-37.18,-50.65,
-37.19,-50.67,
-37.19,-50.68,
-37.19,-50.69,
-37.2,-50.7,
-37.2,-50.71,
-37.2,-50.72,
-37.2,-50.73,
-37.2,-50.75,
-37.2,-50.76,
-37.2,-50.78,
-37.2,-50.8,
-37.2,-50.82,
-37.2,-50.83,
-37.21,-50.84,
-37.21,-50.85,
-37.22,-50.86,
-37.23,-50.87,
-37.24,-50.87,
-37.25,-50.88,
-37.26,-50.89,
-37.26,-50.9,
-37.26,-50.91,
-37.26,-50.92,
-37.25,-50.93,
-37.25,-50.94,
-37.24,-50.95,
-37.24,-50.96,
-37.23,-50.97,
-37.22,-50.98,
-37.22,-50.99,
-37.22,-51,
-37.22,-51.01,
-37.22,-51.02,
-37.23,-51.03,
-37.23,-51.04,
-37.24,-51.05,
-37.25,-51.06,
-37.25,-51.07,
-37.26,-51.08,
-37.27,-51.09,
-37.27,-51.1,
-37.28,-51.11,
-37.28,-51.12,
-37.29,-51.12,
-37.29,-51.13,
-37.3,-51.14,
-37.3,-51.14,
-37.31,-51.14,
-37.32,-51.15,
-37.33,-51.15,
-37.34,-51.15,
-37.35,-51.15,
-37.36,-51.15,
-37.37,-51.15,
-37.39,-51.16,
-37.4,-51.18,
-37.41,-51.19,
-37.42,-51.21,
-37.43,-51.24,
-37.43,-51.26,
-37.44,-51.29,
-37.44,-51.31,
-37.44,-51.34,
-37.43,-51.36,
-37.43,-51.38,
-37.43,-51.4,
-37.42,-51.41,
-37.41,-51.43,
-37.41,-51.44,
-37.4,-51.45,
