A1,A2,A3,A4,A5,Noise,,Noise,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.14,,,,,,,,,,,,,,,
,,,,,,,1.22,,,,,,,,,,,,,,,
,,,,,,,1.29,,,,,,,,,,,,,,,
,,,,,,,1.09,,,,,,,,,,,,,,,
,,,,,,,1.27,,,,,,,,,,,,,,,
,,,,,,,1.23,,,,,,,,,,,,,,,
,,,,,,,1.22,,,,,,,,,,,,,,,
,,,,,,,1.2,,,,,,,,,,,,,,,
,,,,,,,1.09,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,0.94,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,1.1,,,,,,,,,,,,,,,
,,,,,,,1.09,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.13,,,,,,,,,,,,,,,
,,,,,,,1.1,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,1.03,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1.11,,,,,,,,,,,,,,,
,,,,,,,1.07,,,,,,,,,,,,,,,
,,,,,,,1.09,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,0.99,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.18,,,,,,,,,,,,,,,
,,,,,,,1.21,,,,,,,,,,,,,,,
,,,,,,,1.27,,,,,,,,,,,,,,,
,,,,,,,1.25,,,,,,,,,,,,,,,
,,,,,,,1.17,,,,,,,,,,,,,,,
,,,,,,,1.18,,,,,,,,,,,,,,,
,,,,,,,1.17,,,,,,,,,,,,,,,
,,,,,,,1.12,,,,,,,,,,,,,,,
,,,,,,,1.08,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
,,,,,,,0.94,,,,,,,,,,,,,,,
,,,,,,,0.98,,,,,,,,,,,,,,,
,,,,,,,0.97,,,,,,,,,,,,,,,
,,,,,,,0.98,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,1.01,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,0.98,,,,,,,,,,,,,,,
,,,,,,,0.99,,,,,,,,,,,,,,,
,,,,,,,1.04,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.05,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,0.99,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.95,,,,,,,,,,,,,,,
,,,,,,,0.96,,,,,,,,,,,,,,,
,,,,,,,1.02,,,,,,,,,,,,,,,
,,,,,,,1.06,,,,,,,,,,,,,,,
,,,,,,,1.15,,,,,,,,,,,,,,,
,,,,,,,1.24,,,,,,,,,,,,,,,
,,,,,,,1.18,,,,,,,,,,,,,,,
,,,,,,,1.22,,,,,,,,,,,,,,,
,,,,,,,1.2,,,,,,,,,,,,,,,
,,,,,,,1.19,,,,,,,,,,,,,,,
,,,,,,,1.14,,,,,,,,,,,,,,,
